headline	date	url	order	number_words	newspaper
Líder do PP espanhol assassinado na província de Aragão	2001-05-06	https://arquivo.pt/noFrame/replay/20010506231245/http://www.publico.pt/	3	9	PUBLICO
Santana Lopes só comenta proposta concreta	2001-05-06	https://arquivo.pt/noFrame/replay/20010506171758/http://www.publico.pt/	9	6	PUBLICO
PSV Eindhoven conquista 16º título de campeão nacional	2001-05-06	https://arquivo.pt/noFrame/replay/20010506171758/http://www.publico.pt/	8	8	PUBLICO
Spurs saem na frente na batalha do Texas	2001-05-06	https://arquivo.pt/noFrame/replay/20010506171758/http://www.publico.pt/	7	8	PUBLICO
Primeiro ''turista do espaço'' regressa à terra sem problemas	2001-05-06	https://arquivo.pt/noFrame/replay/20010506171758/http://www.publico.pt/	6	9	PUBLICO
Moção global de António Guterres aprovada por esmagadora maioria	2001-05-06	https://arquivo.pt/noFrame/replay/20010506171758/http://www.publico.pt/	5	9	PUBLICO
Moção sectorial para despenalização do aborto rejeitada	2001-05-06	https://arquivo.pt/noFrame/replay/20010506171758/http://www.publico.pt/	4	7	PUBLICO
Presidente filipina levanta «estado de rebelião»	2001-05-06	https://arquivo.pt/noFrame/replay/20010506231245/http://www.publico.pt/	6	6	PUBLICO
Bombista de Oklahoma recusa arrependimento	2001-05-06	https://arquivo.pt/noFrame/replay/20010506231245/http://www.publico.pt/	5	5	PUBLICO
João Paulo II entra para a História como primeiro líder católico a visitar local de culto muçulmano	2001-05-06	https://arquivo.pt/noFrame/replay/20010506231245/http://www.publico.pt/	4	17	PUBLICO
Infarmed fechou três laboratórios numa semana	2001-05-06	https://arquivo.pt/noFrame/replay/20010506231245/http://www.publico.pt/	1	6	PUBLICO
Palestinianos matam mulher israelita na Cisjordânia	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	6	6	PUBLICO
Alenitchev lesiona-se e falha finalíssima da Supertaça	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	8	7	PUBLICO
Francesco Rutelli será o chefe da oposição italiana	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	5	8	PUBLICO
Reserva federal baixa taxa directora em 0,5 por cento	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	4	9	PUBLICO
Kofi Annan inicia visita de três dias à Rússia	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	3	9	PUBLICO
Futuro governo só com nacionalistas e Aznar a braços com a derrota	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	2	12	PUBLICO
Europa reage com cautela à dupla maioria de Berlusconi	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	1	9	PUBLICO
Um estádio Sporting-Benfica só teria um subsídio estatal	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	0	8	PUBLICO
FC Porto vence Sporting e obriga a finalíssima	2001-05-16	https://arquivo.pt/noFrame/replay/20010516020448/http://www.publico.pt/	9	8	PUBLICO
Prova específica para acesso a Medicina	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	14	6	EXPRESSO
Lisboa e Porto têm ruídos excessivos	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	13	6	EXPRESSO
«É prematuro falar em dispensa de trabalhadores»	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	0	7	EXPRESSO
Graça Machel pode suceder a Chissano	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	10	6	EXPRESSO
Corpo de João XXIII está intacto	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	8	6	EXPRESSO
Guterres resiste a remodelar para já	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	7	6	EXPRESSO
Benfica nas mãos de construtores civis	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	6	6	EXPRESSO
Novas pousadas vão nascer em edifícios «emblemáticos»	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	9	7	EXPRESSO
Gravuras do Guadiana são conhecidas desde 93	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	11	7	EXPRESSO
Presunto pode pôr saúde pública em perigo	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	3	7	EXPRESSO
Pedagogias do imaginário em debate	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	2	5	EXPRESSO
Governo acusa ambientalistas de fatalistas	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	1	5	EXPRESSO
Queixa crime contra António Guterres e João Cravinho	2001-05-19	https://arquivo.pt/noFrame/replay/20010519195029/http://www.expresso.pt/	5	8	EXPRESSO
Clubes de futebol criam dívidas sem penalizações do Governo	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	0	9	PUBLICO
Guterres garante aplicação de penalizações aos clubes	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	8	7	PUBLICO
Portistas somam nono triunfo consecutivo	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	7	5	PUBLICO
Sampaio defende aplicação de leis que regulam o audiovisual	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	6	9	PUBLICO
Classificação insuficiente dada às águas algarvias «foi pontual»	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	5	8	PUBLICO
UNITA disposta a respeitar cessar-fogo	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	4	5	PUBLICO
Cinquenta e uma crianças da Amadora poderão não ter acesso ao pré-escolar	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	3	12	PUBLICO
388 portugueses assassinados em quatro anos na África do Sul	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	2	10	PUBLICO
Reforço do plantel é prioridade	2001-05-22	https://arquivo.pt/noFrame/replay/20010522035504/http://www.publico.pt/	9	5	PUBLICO
